customer_id,first_name,customer_segment,district_location,join_date
38933,Jahirul Ghosh,Premium,Chittagong,2020-01-01
42486,Neha Williams,New,Dhaka,2020-01-04
49589,Biplob Patwary,New,Chittagong,2021-10-12
11766,Opu Bappi Akter,Premium,Dhaka,2020-01-12
35699,Ihsan Saif,Regular,Dhaka,2020-07-04
10253,Sanju Bhuiyan,Regular,Dhaka,2020-03-10
22650,Shahid Tariq Bepari,Regular,Dhaka,2020-10-05
16427,Sabina Mahbub Mondal,Regular,Dhaka,2020-04-06
14698,Kohinoor Patwary Khondokar,New,Chittagong,2020-01-15
25913,Frank Martinez,New,Dhaka,2022-06-01
28700,Hanif Nahar Hasan,Regular,Dhaka,2020-12-14
36673,Syed Sarker Bhuiyan,New,Dhaka,2020-08-17
38823,Munira Dey,Regular,Dhaka,2020-08-25
42306,Mosharaf Kazi Begum,Regular,Dhaka,2020-01-26
24726,Sabina Sheikh Khatun,Regular,Dhaka,2020-02-08
21408,Sanju Sheikh Banerjee,Regular,Dhaka,2020-03-15
2615,Habiba Mukherjee,Regular,Dhaka,2020-11-16
21008,Jahanara Gazi,Regular,Rajshahi,2020-06-01
23966,Ripon Jony Uddin,Regular,Chittagong,2020-03-31
48433,Mahin Islam,Regular,Dhaka,2020-06-18
3984,Sabina Mukherjee,Premium,Dhaka,2020-01-29
48043,Tasfia Dey,New,USA,2020-04-13
3637,Atiya Chowdhury,Regular,Dhaka,2020-01-05
12745,Nurjahan Parvin,Regular,Rajshahi,2020-10-10
26801,Liton Miah Chowdhury,Premium,Dhaka,2020-03-02
46298,Sheikh Akhter Paul,Regular,Dhaka,2020-03-28
46281,Priya Saha Chowdhury,Regular,Dhaka,2020-02-02
25605,Siddiq Dewan,Regular,Dhaka,2020-07-05
45725,Opu Mollah,Corporate,Chittagong,2021-01-30
23044,Mohammed Momin Sultana,New,Dhaka,2020-05-31
38804,Rubina Sadek Jahan,Regular,Dhaka,2020-12-19
2909,Jamal Haque,New,Chittagong,2020-01-15
20573,Elizabeth Scott,New,USA,2020-01-02
10194,Jahanara Ali Sen,New,Dhaka,2020-10-07
6906,Ekram Mustafa,Regular,Dhaka,2020-09-05
11408,Biplob Bhuiyan Sarkar,New,Chittagong,2020-06-25
42722,Parvin Sajid Ali,Regular,UAE,2020-01-04
46772,Patrick Singh,Regular,Dhaka,2020-05-28
49404,Tania Dey,Regular,Chittagong,2020-01-12
9465,Mousumi Sarkar Chakraborty,Premium,Dhaka,2020-07-02
34696,Shimul Mollah,Regular,Dhaka,2020-02-14
44336,Emran Jamil,Corporate,Chittagong,2020-01-26
4302,Minara Adhikari,Premium,Chittagong,2020-05-13
13566,Shiblu Mia,Regular,Dhaka,2020-04-11
44772,Shahid Sultana,Regular,Dhaka,2020-04-02
24474,Laura Green,New,Australia,2021-06-29
40908,Abdul Ahmed Banerjee,Premium,Dhaka,2020-12-08
24751,Anil Mehta,Regular,UK,2020-04-13
35046,Kazi Mollah,Regular,Dhaka,2020-02-20
7785,Nazia Mondal,New,Dhaka,2021-04-29
36197,Shuvra Mukherjee,Regular,UAE,2020-05-01
16093,Mary Sharma,Regular,Canada,2020-04-05
39967,Imran Mustafa,Regular,Dhaka,2020-04-07
24077,Jamal Mollah Begum,Regular,Chittagong,2020-04-01
41740,Abu Chakraborty,New,Dhaka,2020-10-28
12766,Akash Mollah,Regular,Dhaka,2021-11-07
48710,Monir Chatterjee,Premium,Chittagong,2021-07-30
